filename,prompt
"0,0,-18.png","a banana that is sitting in the dark, banana, high quality 3d realistic, bananas weapon, modeled in 3 d, in-game 3d model, low quality 3d model, high quality 3d realism, 3 d render of jerma 9 8 5, high quality 3d render, high quality 3 d render, bananas, rendered in maya"
"0,0,-27.png","a single banana is shown against a black background, subsurface scattering skin, modeled in 3 d, high quality 3d realistic, banana, rendered in maya, high quality 3d realism, 3d game object, 3 d raytraced masterpiece, seperated game asset, game asset, diffuse subsurface scattering, in-game 3d model"
"0,0,-36.png","a banana is shown against a black background, banana, sliced banana, modeled in 3 d, 3 d render of jerma 9 8 5, high quality 3d realistic, 3d game object, 3 d raytraced masterpiece, low quality 3d model, bananas weapon, in-game 3d model, seperated game asset, high quality 3d realism"
"0,0,-45.png","a banana is shown against a black background, 3 d raytraced masterpiece, 3d game object, banana, sliced banana, modeled in 3 d, seperated game asset, game asset, seamless game texture, videogame asset, 3 d render of jerma 9 8 5, high quality 3d realistic, bananas weapon, a raytraced image, rendered in pov - ray"
"0,0,-54.png","a close up of a banana on a black background, seperated game asset, banana, bananas weapon, game asset, videogame asset, seamless game texture, 3d game object, low quality 3d model, sliced banana, 3 d raytraced masterpiece, high quality 3d realism, high quality 3d realistic, high quality lowpoly art, in-game 3d model"
"0,0,-63.png","a close up of a banana on a black background, banana, seperated game asset, bananas weapon, videogame asset, game asset, seamless game texture, 3 d raytraced masterpiece, high quality lowpoly art, high quality 3d realism, photorealistic fan art, high quality photorealism, low quality 3d model, 3d game object, sliced banana"
"0,0,-72.png","a banana is shown against a black background, banana, bananas weapon, seperated game asset, game asset, videogame asset, item art, low quality 3d model, league of legends inventory item, seamless game texture, photorealistic fan art, high quality lowpoly art, bananas, 2d game asset, sliced banana, mobile game asset, high quality 3d realistic"
"0,0,-81.png","a close up of a banana on a black background, banana, 3 d raytraced masterpiece, low quality 3d model, masterpiece. rendered in blender, high quality 3d realistic, seperated game asset, bananas weapon, diffuse subsurface scattering, high quality 3d realism, high quality photorealism, 3 d render of jerma 9 8 5"
"0,0,-9.png","a banana that is sitting in the dark, banana, in-game 3d model, low quality 3d model, modeled in 3 d, high quality 3d realistic, bananas weapon, 3 d render of jerma 9 8 5, rendered in maya, high quality 3d realism, high quality 3 d render, high quality 3d render, masterpiece. rendered in blender"
"0,0,-90.png","a banana is shown against a black background, banana, 3 d raytraced masterpiece, low quality 3d model, diffuse subsurface scattering, masterpiece. rendered in blender, sliced banana, high quality 3d realistic, bananas weapon, seperated game asset, a raytraced image, modeled in 3 d, 3d game object, high quality photorealism"
"0,0,0.png","a banana sitting on top of a black surface, banana, bananas weapon, in-game 3d model, low quality 3d model, seperated game asset, 3 d render of jerma 9 8 5, game asset, modeled in 3 d, high quality 3d realistic, banana color, bananas, rendered in maya, high quality 3d realism"
"0,0,18.png","a yellow banana sitting on top of a black table, bananas weapon, banana, in-game 3d model, low quality 3d model, game asset, seperated game asset, banana color, modeled in 3 d, league of legends inventory item, videogame asset, bananas, 3 d render of jerma 9 8 5, seamless game texture, banana hat"
"0,0,27.png","a yellow banana sitting on top of a black table, banana, in-game 3d model, modeled in 3 d, bananas weapon, 3 d render of jerma 9 8 5, low quality 3d model, 3 d raytraced masterpiece, game asset, rendered in maya, seperated game asset, bananas, high quality 3 d render"
"0,0,36.png","a yellow banana sitting on top of a black table, in-game 3d model, banana, bananas weapon, modeled in 3 d, low quality 3d model, seamless game texture, 3 d render of jerma 9 8 5, rendered in maya, high quality 3d realistic, bananas, rendered in corona, game asset, 3 d raytraced masterpiece"
"0,0,45.png","a single banana is shown against a black background, in-game 3d model, bananas weapon, banana, low quality 3d model, modeled in 3 d, game asset, bananas, seamless game texture, videogame asset, 3 d render of jerma 9 8 5, high quality 3d realistic, banana hat, seperated game asset, banana color, sliced banana"
"0,0,54.png","a yellow banana with a blue sticker on it, in-game 3d model, banana, bananas weapon, modeled in 3 d, 3 d render of jerma 9 8 5, low quality 3d model, 3 d raytraced masterpiece, high quality 3d render, high quality 3 d render, 3 d rendered, 3d rendered"
"0,0,63.png","a banana that is sitting in the dark, in-game 3d model, 3 d render of jerma 9 8 5, modeled in 3 d, banana, 3 d raytraced masterpiece, bananas weapon, low quality 3d model, high quality 3 d render, high quality 3d render, high quality 3d realistic, 3d rendered model, 3 d rendered"
