filename,prompt
"0,0,-18.png","a close up of an apple on a black background, glsl - shaders, glossy sphere, radiosity rendering, pretty highlights and specular, cell shader shading, rendered in nvidia's omniverse, specular colors, cataract. subsurface scattering, blue moon ray tracing, a raytraced image, inspired by Ma Yuan, nuclear blast moon eclipse"
"0,0,-27.png","a close up of an apple on a black background, glsl - shaders, radiosity rendering, imbalanced mars. rugged, pretty highlights and specular, break of dawn on pluto, spaceengine, phobos, glossy sphere, specular colors, cell shader shading, rendered in nvidia's omniverse, taken through a telescope, blue moon ray tracing"
"0,0,-36.png","a close up of an apple on a black background, glsl - shaders, phobos, taken through a telescope, red lunar eclipse, mars, mars setting, during lunar eclipse, barsoom, imbalanced mars. rugged, pretty highlights and specular, spaceengine, planet mars, eclipse of aurora on mars, rendered in nvidia's omniverse"
"0,0,-45.png","a red apple sitting on top of a black surface, glsl - shaders, mars in distance, mars, phobos, mars setting, redshift renderer, terraformed mars, planet mars, imbalanced mars. rugged, taken through a telescope, rendered in nvidia's omniverse, the planet mars, spaceengine, barsoom, mars as background"
"0,0,-54.png","a close up of an apple on a black background, mars in distance, mars, glsl - shaders, phobos, terraformed mars, rendered in nvidia's omniverse, redshift renderer, taken through a telescope, red lunar eclipse, planet mars, mars setting, barsoom, the planet mars, spaceengine, rendered with blender"
"0,0,-63.png","a close up of an apple on a black background, glsl - shaders, redshift renderer, glossy sphere, spaceengine, mars setting, mars in distance, during lunar eclipse, surface scattering, red lunar eclipse, cataract. subsurface scattering, rendred in redshift, orange subsurface scattering, barsoom, mars"
"0,0,-72.png","a red apple sitting on top of a black surface, barsoom, mars, imbalanced mars. rugged, mars setting, mars in distance, glsl - shaders, planet mars, the planet mars, mars aerial photography, terraformed mars, orange subsurface scattering, mars as background, glossy sphere, on the orange surface of mars"
"0,0,-81.png","a red apple sitting on top of a black surface, glsl - shaders, barsoom, mars setting, mars in distance, mars, eclipse of aurora on mars, liminal space photography, imbalanced mars. rugged, cataract. subsurface scattering, orange subsurface scattering, surface scattering, glossy sphere, planet mars, subsurface scattering"
"0,0,-9.png","a close up of an apple on a black background, glsl - shaders, break of dawn on pluto, taken through a telescope, pink moon, large glowing moon, phobos, red lunar eclipse, glossy sphere, during lunar eclipse, cataract. subsurface scattering, inspired by Ma Yuan, blue moon ray tracing, red moon, floating planets and moons"
"0,0,-90.png","a red apple sitting on top of a black surface, glsl - shaders, glossy sphere, cataract. subsurface scattering, liminal space photography, radiosity rendering, portrait of a mystical giant eye, fractal flame. highly_detailded, black orb of fire, gravitational lens, unsaturated and dark atmosphere, spaceengine, aperture gradient"
"0,0,0.png","a close up of an apple on a black background, peach, orange subsurface scattering, inspired by Ma Yuan, intense subsurface scattering, pink moon, an apple, strong subsurface scattering, fruitcore, cataract. subsurface scattering, still life of an apple, surface scattering, sublime subsurface scattering, peach embellishment"
"0,0,18.png","a close up of an apple on a black background, orange subsurface scattering, pink moon, peach, surface scattering, sublime subsurface scattering, inspired by Vija Celmins, ray traced sun light, subsurface scattering, intense subsurface scattering, glsl - shaders, cataract. subsurface scattering, strong subsurface scattering"
"0,0,27.png","a close up of an apple on a black background, peach, pink moon, orange subsurface scattering, peaches, surface scattering, a human-like juicy peach, sub - surface scattering, inspired by Vija Celmins, intense subsurface scattering, sublime subsurface scattering, cataract. subsurface scattering, glowing peach face"
"0,0,36.png","a close up of an apple on a black background, orange subsurface scattering, peach, pink moon, peaches, a human-like juicy peach, taken through a telescope, surface scattering, intense subsurface scattering, blue moon ray tracing, outer wilds screenshot, giant pink full moon, sub - surface scattering, glowing peach face, sub surface scattering"
"0,0,45.png","a close up of an apple on a black background, pink moon, giant pink full moon, large glowing moon, taken through a telescope, cataract. subsurface scattering, tungstem color balance, orange subsurface scattering, peach, inspired by Jules Olitski, false color, full blood moon, glowing peach face, outer wilds, full red moon"
"0,0,54.png","a close up of an apple on a black background, pink moon, peach, inspired by Jules Olitski, orange subsurface scattering, false color, inspired by Ma Yuan, peaches, glowing peach face, a human-like juicy peach, still of rainbow ophanim, tungstem color balance, giant pink full moon, an apple, color photograph, thermography"
"0,0,63.png","a close up of an apple on a black background, peach, pink moon, orange subsurface scattering, false color, still of rainbow ophanim, tungstem color balance, peaches, an apple, inspired by Jules Olitski, she is easting a peach, a human-like juicy peach, glowing peach face, intense subsurface scattering"
"0,0,72.png","a close up of an apple on a black background, still of rainbow ophanim, pink moon, peach, an apple, false color, orange subsurface scattering, taken through a telescope, an open eye in its center, tungstem color balance, peaches, pinhole photo quality, very chromatic aberration, intense subsurface scattering, applepencil"
"0,0,81.png","a close up of an apple in the dark, still of rainbow ophanim, pink moon, an apple, peach, an open eye in its center, orange subsurface scattering, inspired by Jules Olitski, inspired by Ma Yuan, very chromatic aberration, dithered gradients, taken through a telescope, applepencil, false color"
"0,0,9.png","a close up of an apple on a black background, still life of an apple, arca album cover, peach, inspired by Vija Celmins, surface scattering, pink moon, an apple, sub - surface scattering, sublime subsurface scattering, orange subsurface scattering, the apple and the moon, intense subsurface scattering"
"0,0,90.png","a close up of an apple in the dark, still of rainbow ophanim, pink moon, inspired by Ma Yuan, inspired by Jules Olitski, peach, inspired by Hans Holbein the Elder, inspired by Rachel Ruysch, dithered gradients, inspired by Hieronymous Bosch, an apple, inspired by Bridget Bate Tichenor"
"0,108,-18.png","a close up of an apple on a black background, phobos, huge red moon, red lunar eclipse, lunar eclipse, red moon, blood moon background, nuclear blast moon eclipse, blood moon eclipse, total lunar eclipse, blood red cresent moon, blood moon, moonray render, outer wilds screenshot, full red moon, blood red moon, outer wilds"
"0,108,-27.png","a close up of an apple on a black background, red moon, huge red moon, red lunar eclipse, lunar eclipse, rendred in redshift, blood moon background, blood moon eclipse, blood red cresent moon, blood red moon, inspired by Ma Yuan, blood moon, red shift render, full red moon, phobos, mars, red rising planet"
"0,108,-36.png","a close up of an apple on a black background, red lunar eclipse, red moon, huge red moon, lunar eclipse, inspired by Ma Yuan, blood red cresent moon, blood moon eclipse, rendred in redshift, red shift render, blood red moon, vray. subsurface scattering, moonray render, total lunar eclipse, full red moon"
"0,108,-45.png","a red apple sitting on top of a black surface, red lunar eclipse, huge red moon, red moon, mars, lunar eclipse, mars in distance, mars as background, phobos, total lunar eclipse, blood moon eclipse, blood red moon, blood red cresent moon, full red moon, mars setting, red shift render, a large sphere of red energy"
"0,108,-54.png","a red apple sitting on top of a black surface, red lunar eclipse, huge red moon, red moon, red shift render, barsoom, blood moon eclipse, lunar eclipse, mars, total lunar eclipse, mars in distance, glsl - shaders, cycles4d render, blood red moon, blood red cresent moon, full red moon, blood moon"
"0,108,-63.png","a red apple sitting on top of a black surface, glsl - shaders, red lunar eclipse, intense subsurface scattering, surface scattering, total lunar eclipse, subsurface scattering, lunar eclipse, red shift render, sublime subsurface scattering, blood moon eclipse, cycles4d render, strong subsurface scattering"
"0,108,-72.png","a red apple sitting on top of a black surface, glsl - shaders, surface scattering, glossy sphere, intense subsurface scattering, sublime subsurface scattering, subsurface scattering, sub surface scattering, strong subsurface scattering, sub - surface scattering, orange subsurface scattering, radiosity rendering"
"0,108,-81.png","a close up of a red object on a black background, glsl - shaders, glossy sphere, radiosity rendering, intense subsurface scattering, surface scattering, cataract. subsurface scattering, sublime subsurface scattering, barsoom, subsurface scattering, strong subsurface scattering, mars in distance, sub surface scattering"
"0,108,-9.png","a close up of an apple on a black background, red lunar eclipse, lunar eclipse, total lunar eclipse, nuclear blast moon eclipse, blood moon eclipse, huge red moon, eclipse, orange subsurface scattering, peach, pink moon, barsoom, an eclipse, during lunar eclipse, red moon, mars one mission, blood moon, mars mission, full red moon"
"0,108,-90.png","a red object is seen in the dark sky, glossy sphere, glsl - shaders, radiosity rendering, cataract. subsurface scattering, black sun with purple eclipse, sublime subsurface scattering, intense subsurface scattering, inspired by Jules Olitski, surface scattering, subsurface scattering, spaceengine, strong subsurface scattering"
"0,108,0.png","an apple with a bite taken out of it, peach, seamless game texture, background of poison apples, an apple, peaches, apple orange, a human-like juicy peach, still life of an apple, game asset, golden apple, fruit world, videogame asset, 4 k hd wallpapear, an apple doing crossfit, a raytraced image"
"0,108,18.png","an apple with a bite taken out of it, peach, seamless game texture, fruit world, an apple, videogame asset, apple orange, still life of an apple, a human-like juicy peach, background of poison apples, peaches, game asset, apple, an apple doing crossfit, fruitcore, golden apple, apple logo, 4 k hd wallpapear"
"0,108,27.png","a close up of an apple on a black background, peach, an apple, the apple and the moon, still life of an apple, seamless game texture, 3d game object, an apple doing crossfit, game asset, videogame asset, background of poison apples, outer wilds screenshot, golden apple, blender rendering, inspired by Vija Celmins"
