filename,prompt
"0,0,-18.png","a close up of a white bird on a black background, balloon, onion, physically - based render, rendered in pov - ray, 3d game object, levitating agricultural sphere, 3 d houdini, 3d houdini, spherical body, houdini simulation, volumetric object, physicality-based render, houdini rendering, rpg item render, untextured"
"0,0,-27.png","a large white bird flying through a dark sky, balloon, onion, rendered in pov - ray, rpg item render, 3d game object, povray, physically - based render, anorld render, volumetric object, untextured, sparse floating particles, 3 d raytraced masterpiece, seperated game asset, high - poly, low quality 3d model"
"0,0,-36.png","a close up of an object in the sky, balloon, 3d game object, volumetric object, seperated game asset, blimp, physically - based render, in-game 3d model, spherical body, anorld render, octave render, untextured, uncompressed png, game asset, 3d asset, levitating agricultural sphere, orbital"
"0,0,-45.png","a large white bird flying through a dark sky, onion, onion man portrait, rendered in pov - ray, 3d game object, onion man, octane renderer”, ambient occlusion render, 3 d raytraced masterpiece, an ambient occlusion render, elated gaunt onion head, seamless game texture, v-ray engine, onions"
"0,0,-54.png","a close up of an egg on a black background, onion, onion man portrait, octane renderer”, onion man, 3d game object, ambient occlusion render, an ambient occlusion render, rendered in pov - ray, v-ray engine, 3 d raytraced masterpiece, sparse floating particles, octane renderer, volumetric object"
"0,0,-63.png","a close up of an egg on a black background, onion, onion man portrait, onion man, onions, surrounding onions, 3 d raytraced masterpiece, rendered in pov - ray, elated gaunt onion head, proud onion hybrid thanos, octane renderer”, 3d game object, masterpiece. rendered in blender, v-ray engine, rendered in corona"
"0,0,-72.png","a bird flying in the sky at night, onion, onion man portrait, onion man, octave render, octane renderer”, condensation droplet render, levitating agricultural sphere, physically - based render, rendered in pov - ray, spherical body, tooth wu : : quixel megascans, sparse floating particles, octane renderer"
"0,0,-81.png","an object is shown in the dark sky, octave render, spherical body, condensation droplet render, transparent carapace, venus squid astronaut, physicality-based render, black fluid simulation, physically - based render, sparse floating particles, cycles4d, cataract. subsurface scattering, octane renderer”, houdini rendering"
"0,0,-9.png","a close up of a white object on a black background, rpg item render, balloon, octave render, physically - based render, moonray render, houdini rendering, houdini simulation, 3d game object, bw 3 d render, 3d rendered model, physicality-based render, with small object details, science fiction spacecraft, filmic render"
"0,0,-90.png","a bird flying in the sky at night, condensation droplet render, spherical body, black fluid simulation, cataract. subsurface scattering, backscatter orbs, physicality-based render, fluid sim, venus squid astronaut, sparse floating particles, transparent carapace, octave render, fluid simulation in houdini"
"0,0,0.png","a close up of a white object on a black background, onion, rpg item render, 3 d render of jerma 9 8 5, balloon, 3d game object, in-game 3d model, seamless game texture, onion man portrait, 3 d raytraced masterpiece, onion man, videogame asset, seperated game asset, untextured, 3 d object"
"0,0,18.png","a close up of a white object on a black background, rpg item render, eye white). full body realistic, rpg item, game asset, seperated game asset, 3d game object, balloon, spherical body, in-game 3d model, uncompressed png, povray, onion, spherical lens, rpg game item, smoke grenade"
"0,0,27.png","a close up of a light bulb on a black background, onion, rpg item render, surrounding onions, rpg item, elated gaunt onion head, 3d game object, onions, eye white). full body realistic, 3d object, 3 d object, seamless game texture, uncompressed png, onion man portrait, rpg game item, povray"
"0,0,36.png","a close up of a light bulb on a black background, onion, 3d game object, rpg item render, 3 d object, 3d object, an ambient occlusion render, surrounding onions, in-game 3d model, elated gaunt onion head, planet saturn, with small object details, spherical body, raymarching, modeled in 3 d"
"0,0,45.png","a close up of a white object on a black background, planet saturn, saturn, octave render, inspired by Vija Celmins, cinema 4d :9 detailed face: 8, photorealistic-n 9, orbital rings, raymarching, 3d rendered model, a raytraced image, in-game 3d model, anorld render, octsne render"
"0,0,54.png","a close up of a white object on a black background, inspired by Vija Celmins, saturn, spherical body, planet saturn, anorld render, raymarching, 3 d raytraced masterpiece, octave render, photorealistic-n 9, 3d rendered model, a raytraced image, bw 3 d render, radiosity rendering, octsne render"
"0,0,63.png","a close up of a ring on a black background, inspired by Vija Celmins, raymarching, spherical body, radiosity rendering, saturn, 3 d image, planet saturn, octave render, rendered image, ray traced sun light, 3d object, 3 d object, a raytraced image, povray, white eclipse, 3d rendered model"
"0,0,72.png","a close up of a white object in the dark, raymarching, povray, a raytraced image, spherical body, pearl earring, 3 d raytraced masterpiece, ray traced sun light, condensation droplet render, inspired by Vija Celmins, radiosity rendering, rendered image, volumetric object, raytraced, 3 d image"
"0,0,81.png","a space shuttle flying through the night sky, a raytraced image, octave render, ray traced sun light, spherical body, raymarching, inspired by Vija Celmins, 3 d image, raytraced, bw 3 d render, povray, videogame 3d render, webgl render, venus squid astronaut, volumetric object, 3 d raytraced masterpiece"
"0,0,9.png","a close up of an object in the sky, rpg item render, onion, in-game 3d model, balloon, 3d game object, rpg item, with small object details, grenade, spherical body, povray, 3 d object, 3d object, seperated game asset, high - poly, pocketwatch, smoke grenade"
"0,0,90.png","a space shuttle flying through the night sky, onion, a raytraced image, surrounding onions, 3 d raytraced masterpiece, octave render, povray, raytraced, webgl render, raytraced lights and shadows, ray traced sun light, videogame 3d render, rendered in pov - ray, raymarching, ocatne render"
